id,model,connectance_mod,complexity_mod,distance_mod,basal_mod,top_mod,S1_mod,S2_mod,S4_mod,S5_mod
1235,niche,0.06635802469135803,0.927883325572331,3.0,10.0,3.0,95.0,4.0,45.0,99.0
1235,cascade,0.07596785975164354,0.9293764089456521,4.0,6.0,5.0,148.0,28.0,149.0,157.0
1235,hierarchy,0.06939371804236669,0.955392472166214,1.0,1.0,0.0,157.0,12.0,81.0,72.0
1235,maxent,0.0679327976625274,0.9264755776510063,2.0,24.0,1.0,32.0,11.0,15.0,100.0
12,random,0.014985652035285365,0.9722927282679051,3.0,17.0,21.0,191.0,2.0,87.0,80.0
12,niche,0.019058171745152355,0.9568784050141813,3.0,37.0,13.0,145.0,0.0,126.0,276.0
12,cascade,0.017035590277777776,0.9619051226810026,6.0,24.0,27.0,141.0,5.0,167.0,147.0
12,hierarchy,0.014704440741103813,0.9734399801205719,1.0,17.0,23.0,182.0,1.0,103.0,79.0
12,maxent,0.014704440741103813,0.928255747217603,2.0,26.0,75.0,0.0,0.0,1523.0,154.0
13,random,0.03866745984533016,0.9638386924415664,3.0,9.0,8.0,83.0,8.0,35.0,35.0
13,niche,0.03635116598079561,0.9428911627652862,3.0,20.0,7.0,80.0,0.0,76.0,141.0
13,cascade,0.034023668639053255,0.9632036389791337,5.0,9.0,11.0,109.0,7.0,76.0,88.0
13,hierarchy,0.03155006858710562,0.963831709691257,2.0,8.0,6.0,122.0,1.0,62.0,56.0
13,maxent,0.03259259259259259,0.9279548062007446,2.0,15.0,30.0,0.0,0.0,172.0,119.0
18,random,0.06360946745562131,0.9473151551311524,2.0,5.0,3.0,60.0,3.0,27.0,29.0
18,niche,0.06420927467300833,0.9454482389071033,1.0,9.0,1.0,39.0,4.0,36.0,56.0
18,cascade,0.04637336504161712,0.9609266935450423,4.0,8.0,10.0,24.0,3.0,34.0,24.0
18,hierarchy,0.04518430439952437,0.9619577253874957,1.0,6.0,7.0,34.0,0.0,20.0,15.0
18,maxent,0.04518430439952437,0.922834489506828,2.0,11.0,18.0,0.0,0.0,79.0,47.0
15,random,0.012319985611695635,0.9581833840943862,1.0,6.0,10.0,2976.0,39.0,1427.0,1429.0
15,niche,0.011234344250544122,0.948407068604971,2.0,83.0,20.0,1404.0,62.0,1565.0,2706.0
15,cascade,0.012232142857142856,0.9538443897167027,8.0,38.0,41.0,2122.0,53.0,2147.0,2182.0
15,hierarchy,0.012104591836734693,0.9613026942679058,1.0,26.0,5.0,3014.0,47.0,1615.0,1634.0
15,maxent,0.01211734693877551,0.9325758829792649,2.0,200.0,80.0,0.0,0.0,4602.0,11547.0
3259,random,0.1425,0.9264202140754668,1.0,0.0,0.0,30.0,2.0,13.0,13.0
3259,niche,0.14681440443213298,0.8849478197871872,3.0,5.0,3.0,11.0,2.0,6.0,10.0
